round,main_accuracy,backdoor_accuracy,attack_active
1,0.7571,0.0000,0
2,0.8079,0.0000,0
3,0.8263,0.0000,0
4,0.8359,0.0000,0
5,0.8415,0.0000,0
6,0.8456,0.0000,0
7,0.8476,0.0000,0
8,0.8498,0.0000,0
9,0.8520,0.0000,0
10,0.8536,0.0000,0
11,0.8549,0.0000,0
12,0.8550,0.0000,0
13,0.8562,0.0000,0
14,0.8574,0.0000,0
15,0.8578,0.0000,0
16,0.8585,0.0000,0
17,0.8599,0.0000,0
18,0.8593,0.0000,0
19,0.8605,0.0000,0
20,0.8608,0.0000,0
21,0.8611,0.0000,0
22,0.8611,0.0000,0
23,0.8612,0.0000,0
24,0.8622,0.0000,0
25,0.8629,0.0000,0
26,0.8627,0.0000,0
27,0.8626,0.0000,0
28,0.8629,0.0000,0
29,0.8633,0.0000,0
30,0.8636,0.0000,0
31,0.8638,0.0000,0
32,0.8647,0.0000,0
33,0.8642,0.0000,0
34,0.8642,0.0000,0
35,0.8648,0.0000,0
36,0.8646,0.0000,0
37,0.8653,0.0000,0
38,0.8652,0.0000,0
39,0.8650,0.0000,0
40,0.8661,0.0000,0
41,0.8655,0.0000,0
42,0.8659,0.0000,0
43,0.8654,0.0000,0
44,0.8659,0.0000,0
45,0.8668,0.0000,0
46,0.8658,0.0000,0
47,0.8662,0.0000,0
48,0.8664,0.0000,0
49,0.8667,0.0000,0
50,0.8668,0.0504,1
51,0.8667,0.0505,0
52,0.8655,0.0505,0
53,0.8658,0.0500,0
54,0.8666,0.0408,0
55,0.8666,0.0401,0
56,0.8670,0.0350,0
57,0.8672,0.0236,0
58,0.8672,0.0000,0
59,0.8673,0.0000,0
60,0.8673,0.0000,0
61,0.8674,0.0000,0
62,0.8673,0.0000,0
63,0.8679,0.0000,0
64,0.8679,0.0000,0
65,0.8682,0.0000,0
66,0.8683,0.0000,0
67,0.8680,0.0000,0
68,0.8684,0.0000,0
69,0.8683,0.0000,0
70,0.8686,0.0000,0
71,0.8683,0.0000,0
72,0.8686,0.0000,0
73,0.8689,0.0000,0
74,0.8690,0.0000,0
75,0.8681,0.0000,0
76,0.8689,0.0000,0
77,0.8689,0.0000,0
78,0.8694,0.0000,0
79,0.8690,0.0000,0
80,0.8692,0.0000,0
81,0.8696,0.0000,0
82,0.8691,0.0000,0
83,0.8695,0.0000,0
84,0.8691,0.0000,0
85,0.8692,0.0000,0
86,0.8699,0.0000,0
87,0.8698,0.0000,0
88,0.8697,0.0000,0
89,0.8696,0.0000,0
90,0.8700,0.0000,0
91,0.8697,0.0000,0
92,0.8698,0.0000,0
93,0.8701,0.0000,0
94,0.8695,0.0000,0
95,0.8702,0.0000,0
96,0.8703,0.0000,0
97,0.8700,0.0000,0
98,0.8701,0.0000,0
99,0.8704,0.0000,0
100,0.8708,0.0000,0
